epoch;accuracy;loss;val_accuracy;val_loss
0;0.14826101;4.316396792468739;0.1925913542509079;3.0948333740234375
0;0.13132629;4.5414451402922476;0.17259521782398224;3.426270008087158
1;0.18288828;3.9772487882679948;0.20168304443359375;3.177349805831909
2;0.2060318;3.7749117827702623;0.22072957456111908;3.0319151878356934
3;0.22292022;3.6384135930100454;0.23539885878562927;2.9218428134918213
4;0.2362025;3.5346236973186023;0.24734751880168915;2.8376615047454834
5;0.2473521;3.4510301776851215;0.2574910521507263;2.765151023864746
6;0.25743103;3.380975174473133;0.2666330933570862;2.708125352859497
7;0.26628214;3.320629775663838;0.2745681703090668;2.6574082374572754
8;0.27424926;3.267435119165263;0.2819834351539612;2.6114933490753174
9;0.28147328;3.2198335521117163;0.28861644864082336;2.570162296295166
10;0.2883906;3.1767438099215117;0.2948766052722931;2.5306668281555176
11;0.2948476;3.1374332815563926;0.30065715312957764;2.495950222015381
12;0.30085245;3.101164548351274;0.3061569333076477;2.464721918106079
13;0.3065984;3.067467246227898;0.3112747073173523;2.435438632965088
14;0.31185862;3.0361067132869115;0.31610921025276184;2.408151865005493
15;0.31681314;3.006774486422849;0.3209543824195862;2.3826797008514404
16;0.32151234;2.9791818903254654;0.3255254030227661;2.3593180179595947
17;0.32613984;2.9531282206725638;0.32976582646369934;2.3374409675598145
18;0.33048046;2.928489006690991;0.3336654603481293;2.3154735565185547
19;0.33472034;2.905095908154423;0.3374923765659332;2.2943575382232666
20;0.33888957;2.8828226505235457;0.34110820293426514;2.275204658508301
21;0.34273225;2.8615982196604213;0.3446049988269806;2.257232189178467
22;0.3464274;2.841296119739612;0.3480677306652069;2.2404208183288574
23;0.34996998;2.8218756336912825;0.3512430787086487;2.2237954139709473
24;0.35338897;2.803252493229229;0.3543996214866638;2.2074644565582275
25;0.3567505;2.785343212254035;0.35739898681640625;2.1919775009155273
26;0.36010996;2.7681301080660585;0.360208123922348;2.1769726276397705
27;0.36308798;2.7515430231229403;0.36311542987823486;2.1637778282165527
28;0.36616364;2.735556428444882;0.365835577249527;2.1497483253479004
29;0.36917317;2.72012022571483;0.36841633915901184;2.1358234882354736
30;0.37198028;2.70521462832888;0.37100574374198914;2.1231658458709717
31;0.37472534;2.690788974496536;0.37357228994369507;2.109977960586548
32;0.37740174;2.676812947591922;0.37600961327552795;2.0976479053497314
33;0.37996164;2.6632748772778236;0.37832438945770264;2.08522891998291
34;0.3825704;2.65013898992911;0.38065388798713684;2.0734944343566895
35;0.38508657;2.637397723730343;0.3829818665981293;2.0626258850097656
36;0.38742524;2.6250105600804092;0.3851735293865204;2.051698923110962
37;0.3897522;2.6129824730567632;0.38724109530448914;2.0409562587738037
38;0.39204305;2.60127012101002;0.38937631249427795;2.030759572982788
39;0.394311;2.5898825222742743;0.39154407382011414;2.021634340286255
40;0.39649302;2.578794367238879;0.39353230595588684;2.011749029159546
41;0.398615;2.5679932919641337;0.3953496217727661;2.002211093902588
42;0.40065613;2.5574650558565435;0.39712828397750854;1.9922882318496704
43;0.40266266;2.5471908427891323;0.3988998532295227;1.9831551313400269
44;0.40464833;2.5371682894493763;0.4006703794002533;1.9744420051574707
45;0.406634;2.5273908318175624;0.4024856686592102;1.9664677381515503
46;0.4085963;2.5178426325864467;0.404266357421875;1.9582520723342896
47;0.4105352;2.5085030062007716;0.40592193603515625;1.9501450061798096
48;0.41237232;2.499380049156025;0.4075149595737457;1.941933274269104
49;0.4141449;2.490456659552486;0.4090743958950043;1.9344284534454346
50;0.41594136;2.4817233154647207;0.41060587763786316;1.9262940883636475
51;0.41770425;2.473173483201147;0.4122319519519806;1.9188942909240723
52;0.41952515;2.464801680271436;0.4136754274368286;1.9110702276229858
53;0.4212199;2.4565970158805914;0.4151626527309418;1.9040217399597168
54;0.42292073;2.4485743712517434;0.4165028929710388;1.897567629814148
55;0.42447358;2.440700224589091;0.41793009638786316;1.890486717224121
56;0.4259959;2.4329760288567437;0.41927286982536316;1.884031891822815
57;0.42760214;2.4254092349748437;0.4206593930721283;1.878165602684021
58;0.4292104;2.417979924396301;0.42196857929229736;1.8718281984329224
59;0.4306188;2.4106975565800286;0.4233042299747467;1.8654429912567139
60;0.43212482;2.403538531685869;0.4245290160179138;1.8596806526184082
61;0.4334971;2.396523657000701;0.4257303774356842;1.8541483879089355
62;0.43495587;2.389624131170179;0.42691853642463684;1.8487873077392578
63;0.43637034;2.382855108863441;0.4282073974609375;1.843456745147705
64;0.4377416;2.376202928329197;0.4293660521507263;1.8389053344726562
65;0.43907014;2.3696740232621476;0.4305267333984375;1.8334267139434814
66;0.44038644;2.3632533063103134;0.4317159056663513;1.8283015489578247
67;0.44158834;2.3569439618072163;0.43276315927505493;1.82314133644104
68;0.44289652;2.3507433853364392;0.43385517597198486;1.8180017471313477
69;0.4441152;2.3446378400355266;0.434957891702652;1.8122395277023315
70;0.44542083;2.3386395221925342;0.4360244870185852;1.807237982749939
71;0.44669697;2.3327416788825457;0.4370768368244171;1.8022406101226807
72;0.44787037;2.3269346088694873;0.4381047487258911;1.7969681024551392
73;0.44904074;2.321221604652237;0.4391342103481293;1.7922310829162598
74;0.45020548;2.315603310711837;0.44024303555488586;1.7869679927825928
75;0.45138142;2.3100711326522285;0.4412745237350464;1.7817978858947754
76;0.45246023;2.3046197118004783;0.442269891500473;1.7773003578186035
77;0.4535319;2.299249962736697;0.44329833984375;1.7729275226593018
78;0.45468852;2.2939653934678064;0.4442687928676605;1.768630027770996
79;0.45575255;2.2887568152878277;0.44514718651771545;1.7636046409606934
80;0.4569463;2.283624972317678;0.44594523310661316;1.7591643333435059
81;0.45801595;2.278566586249508;0.4468236267566681;1.7547595500946045
82;0.45900422;2.273577670407637;0.44771677255630493;1.750331997871399
83;0.46001843;2.268658337778955;0.4484873414039612;1.7460918426513672
84;0.4610616;2.263813524877575;0.44934335350990295;1.7415028810501099
85;0.4620768;2.2590350727628294;0.45019885897636414;1.7379719018936157
86;0.4630661;2.2543111291170743;0.4509689211845398;1.7343889474868774
